Brand,Name,Graphics Processor__GPU Name,Graphics Processor__Architecture,Release_Year_Normalized,Memory__Memory Size,Memory__Memory Type,Memory__Memory Bus,Graphics Card__Bus Interface,Board Design__TDP,Render Config__Shading Units,Theoretical Performance__FP32 (float),Graphics Features__DirectX,Graphics Features__OpenGL,Graphics Features__Shader Model,Recommended Resolutions
AMD,Radeon R9 M380 Mac Edition,Strato,GCN 2.0,2015,2 GB,GDDR5,128 bit,unknown,unknown,768.0,unknown,12 (12_0),4.6,6.5,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon R9 M385,Strato,GCN 2.0,2015,4 GB,GDDR5,128 bit,unknown,unknown,896.0,unknown,12 (12_0),4.6,6.5,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon R9 M385X,Strato,GCN 2.0,2015,4 GB,GDDR5,128 bit,unknown,unknown,896.0,unknown,12 (12_0),4.6,6.5,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon R9 M390 Mac Edition,Pitcairn,GCN 1.0,2015,2 GB,GDDR5,256 bit,unknown,80 W,1024.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon R9 M390X,Amethyst,GCN 3.0,2015,4 GB,GDDR5,256 bit,unknown,75 W,2048.0,unknown,12 (12_0),4.6,6.5,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon R9 M395 Mac Edition,Amethyst,GCN 3.0,2015,2 GB,GDDR5,256 bit,unknown,250 W,1792.0,unknown,12 (12_0),4.6,6.5,Good:1366x768 | Playable:1600x900 | Unplayable:1920x1080
AMD,Radeon R9 M395X,Amethyst,GCN 3.0,2015,8 GB,GDDR5,256 bit,unknown,75 W,2048.0,unknown,12 (12_0),4.6,6.5,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon R9 M395X Mac Edition,Amethyst,GCN 3.0,2015,4 GB,GDDR5,256 bit,unknown,250 W,2048.0,unknown,12 (12_0),4.6,6.5,Good:1366x768 | Playable:1600x900 | Unplayable:1920x1080
AMD,Radeon R9 Nano,Fiji,GCN 3.0,2015,4 GB,HBM,4096 bit,pcie x3.0 x16,175 W,4096.0,unknown,12 (12_0),4.6,6.5,Good:1600x900 | Playable:1920x1080 | Unplayable:2560x1440
AMD,FirePro S7100X,Amethyst,GCN 3.0,2016,8 GB,GDDR5,256 bit,unknown,100 W,2048.0,unknown,12 (12_0),4.6,6.5,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,FirePro S7150,Tonga,GCN 3.0,2016,8 GB,GDDR5,256 bit,pcie x3.0 x16,150 W,2048.0,unknown,12 (12_0),4.6,6.5,
AMD,FirePro S7150 x2,Tonga,GCN 3.0,2016,8 GB,GDDR5,256 bit,pcie x3.0 x16,265 W,1792.0,unknown,12 (12_0),4.6,6.5,
AMD,FirePro S9300 X2,Capsaicin,GCN 3.0,2016,4 GB,HBM,4096 bit,pcie x3.0 x16,300 W,4096.0,unknown,12 (12_0),4.6,6.5,
AMD,Playstation 4 Pro GPU,Neo,GCN 2.0,2016,8 GB,GDDR5,256 bit,unknown,150 W,2304.0,unknown,,4.6,6.0,Good:1366x768 | Playable:1600x900 | Unplayable:1920x1080
AMD,Playstation 4 Slim GPU,Liverpool 16nm,GCN 2.0,2016,8 GB,GDDR5,256 bit,unknown,75 W,1152.0,unknown,11.1*,4.6,5.1,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon E9260 MXM,Baffin,GCN 4.0,2016,4 GB,GDDR5,128 bit,unknown,50 W,896.0,unknown,12 (12_0),4.6,6.7,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon E9260 PCIe,Baffin,GCN 4.0,2016,4 GB,GDDR5,128 bit,unknown,80 W,896.0,unknown,12 (12_0),4.6,6.7,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon E9550 MXM,Ellesmere,GCN 4.0,2016,8 GB,GDDR5,256 bit,unknown,95 W,2304.0,unknown,12 (12_0),4.6,6.7,Good:1600x900 | Low FPS:1920x1080 | Unplayable:2560x1440
AMD,Radeon Instinct MI6,Ellesmere,GCN 4.0,2016,8 GB,GDDR5,256 bit,pcie x3.0 x16,150 W,2304.0,unknown,12 (12_0),4.6,6.7,
AMD,Radeon Instinct MI8,Fiji,GCN 3.0,2016,4 GB,HBM,4096 bit,pcie x3.0 x16,175 W,4096.0,unknown,12 (12_0),4.6,6.5,
AMD,Radeon Pro 450,Baffin,GCN 4.0,2016,2 GB,GDDR5,128 bit,unknown,35 W,640.0,unknown,12 (12_0),4.6,6.7,Good:1280x720 | Low FPS:1366x768 | Unplayable:1600x900
AMD,Radeon Pro 455,Baffin,GCN 4.0,2016,2 GB,GDDR5,128 bit,unknown,35 W,768.0,unknown,12 (12_0),4.6,6.7,Good:1280x720 | Playable:1366x768 | Low FPS:1600x900
AMD,Radeon Pro 460,Baffin,GCN 4.0,2016,4 GB,GDDR5,128 bit,unknown,35 W,1024.0,unknown,12 (12_0),4.6,6.7,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon Pro Duo,Capsaicin,GCN 3.0,2016,4 GB,HBM,4096 bit,pcie x3.0 x16,350 W,4096.0,unknown,12 (12_0),4.6,6.5,Good:1600x900 | Playable:1920x1080 | Low FPS:2560x1440
AMD,Radeon Pro SSG,Fiji,GCN 3.0,2016,4 GB,HBM,4096 bit,pcie x3.0 x16,260 W,4096.0,unknown,12 (12_0),4.6,6.5,Good:1600x900 | Playable:1920x1080 | Unplayable:2560x1440
AMD,Radeon Pro WX 4100,Baffin,GCN 4.0,2016,4 GB,GDDR5,128 bit,pcie x3.0 x8,50 W,1024.0,unknown,12 (12_0),4.6,6.7,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon Pro WX 5100,Ellesmere,GCN 4.0,2016,8 GB,GDDR5,256 bit,pcie x3.0 x16,75 W,1792.0,unknown,12 (12_0),4.6,6.7,Good:1366x768 | Playable:1600x900 | Unplayable:1920x1080
AMD,Radeon Pro WX 7100,Ellesmere,GCN 4.0,2016,8 GB,GDDR5,256 bit,pcie x3.0 x16,130 W,2304.0,unknown,12 (12_0),4.6,6.7,Good:1600x900 | Low FPS:1920x1080 | Unplayable:2560x1440
AMD,Radeon R1E Mobile Graphics,Stoney,GCN 3.0,2016,System Shared,System Shared,System Shared,unknown,15 W,64.0,unknown,12 (12_0),4.6,6.5,Playable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
AMD,Radeon R1E Mobile Graphics,Beema,GCN 2.0,2016,System Shared,System Shared,System Shared,unknown,15 W,64.0,unknown,12 (12_0),4.6,6.5,Playable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
AMD,Radeon R1E Mobile Graphics,Beema,GCN 2.0,2016,System Shared,System Shared,System Shared,unknown,15 W,64.0,unknown,12 (12_0),4.6,6.5,Playable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
AMD,Radeon R2 Mobile Graphics,Stoney,GCN 3.0,2016,System Shared,System Shared,System Shared,unknown,15 W,128.0,unknown,12 (12_0),4.6,6.5,Playable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
AMD,Radeon R2E Mobile Graphics,Stoney,GCN 3.0,2016,System Shared,System Shared,System Shared,unknown,15 W,128.0,unknown,12 (12_0),4.6,6.5,Playable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
AMD,Radeon R3 Mobile Graphics,Stoney,GCN 3.0,2016,System Shared,System Shared,System Shared,unknown,15 W,128.0,unknown,12 (12_0),4.6,6.5,Playable:640x480 | Unplayable:1280x720 | Unplayable:1366x768
